CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91,531,Yes,1,94,2283,Service dissatisfaction
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46,84.5,Yes,1,76,2667,Don't know
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95,1120.3,Yes,1,85,5980,Product dissatisfaction
9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction
0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website
4629-NRXKX,1,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,75,5687,Network reliability
9514-JDSKI,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services
4959-JOSRX,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed
7273-TEFQD,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges
3606-TWKGI,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges
6323-AYBRX,1,United States,California,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,83,5084,Price too high
4385-GZQXV,1,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,81,3810,Product dissatisfaction
6366-ZGQGL,1,United States,California,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,73,5087,Service dissatisfaction
5940-AHUHD,1,United States,California,Pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,69,3338,Lack of self-service on Website
6432-TWQLB,1,United States,California,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,80,3676,Network reliability
4484-GLZOU,1,United States,California,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,65,4839,Don't know
9512-UIBFX,1,United States,California,West Covina,91791,"34.061634, -117.893169",34.061634,-117.893169,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,1,68,4643,Don't know
5583-SXDAG,1,United States,California,Alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70,70,Yes,1,97,4094,Don't know
3488-PGMQJ,1,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,1,80,4345,Poor expertise of online support
3580-REOAC,1,United States,California,Bonita,91902,"32.67117, -117.00232",32.67117,-117.00232,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,1,83,4061,Poor expertise of phone support
7534-BFESC,1,United States,California,Boulevard,91905,"32.677097, -116.304991",32.677097,-116.304991,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,1,98,2018,Price too high
6390-DSAZX,1,United States,California,Guatay,91931,"32.857946, -116.561917",32.857946,-116.561917,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,1,80,2565,Product dissatisfaction
8098-LLAZX,1,United States,California,Jacumba,91934,"32.649787, -116.2237",32.649787,-116.2237,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,85,3677,Service dissatisfaction
